index,cluster,status,ttft_ms,inject_ms,frag_bytes
0,1,MISS,5174.512,0.000,1845620
1,2,MISS,5288.141,0.000,1870220
2,1,MISS,4895.735,0.000,1710320
3,3,MISS,4736.308,0.000,1648820
4,3,MISS,4412.119,0.000,1513520
5,1,EXACT,576.590,10.294,1710320
6,3,MISS,4768.547,0.000,1648820
7,2,MISS,4958.331,0.000,1734920
8,0,MISS,4943.592,0.000,1722620
9,3,EXACT,406.490,7.422,1513520
10,2,EXACT,507.940,7.405,1734920
11,2,EXACT,530.521,9.898,1734920
12,2,EXACT,470.111,10.297,1734920
13,3,EXACT,471.349,14.149,1513520
14,0,MISS,4494.717,0.000,1587320
15,0,EXACT,512.819,7.472,1587320
16,1,EXACT,446.947,13.823,1710320
17,0,MISS,6319.073,0.000,1722620
18,0,EXACT,414.834,9.557,1587320
19,1,EXACT,468.111,36.132,1710320
20,0,EXACT,531.172,10.272,1587320
21,0,EXACT,522.429,7.563,1587320
22,0,EXACT,527.943,9.473,1587320
23,3,EXACT,465.000,13.783,1513520
24,2,EXACT,509.636,15.264,1734920
25,0,EXACT,445.799,7.762,1587320
26,3,EXACT,432.474,9.836,1513520
27,3,EXACT,407.444,8.674,1513520
28,2,EXACT,523.297,7.550,1734920
29,2,EXACT,532.858,7.573,1734920
30,2,MISS,5469.342,0.000,1870220
31,3,EXACT,554.753,9.003,1513520
32,0,MISS,5159.303,0.000,1722620
33,2,EXACT,605.321,7.474,1734920
34,0,EXACT,481.205,10.313,1587320
35,2,EXACT,464.892,8.790,1734920
36,0,EXACT,458.843,7.628,1587320
37,3,EXACT,426.154,8.783,1513520
38,3,EXACT,494.015,8.886,1513520
39,3,EXACT,429.529,9.358,1513520
